               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.026951,            0.012432,            0.011015,             0.90522,             0.65992,             0.70882,             0.42604,             0.03379,           0.0047322,            0.019657,           0.0061192,           0.0061192,           0.0061192
                 100,            0.027133,            0.013099,            0.013106,             0.74251,             0.66153,             0.71319,             0.42619,            0.033924,           0.0048666,            0.019654,           0.0060796,           0.0060796,           0.0060796
                 101,            0.027091,            0.012914,            0.012464,             0.72074,             0.64875,             0.69579,             0.41056,            0.033833,           0.0046407,            0.016329,             0.00604,             0.00604,             0.00604
                 102,            0.026777,            0.012635,            0.012395,             0.74456,             0.70058,             0.71956,             0.42791,            0.034303,           0.0049125,            0.017815,           0.0060004,           0.0060004,           0.0060004
                 103,            0.027227,            0.012725,            0.011804,             0.67939,             0.66198,              0.6765,             0.41077,            0.035396,           0.0048528,             0.01885,           0.0059608,           0.0059608,           0.0059608
                 104,            0.026686,            0.012762,            0.012568,              0.7497,              0.7146,             0.72391,             0.44643,            0.033574,           0.0047795,            0.015219,           0.0059212,           0.0059212,           0.0059212
                 105,            0.026352,            0.012519,             0.01216,             0.79202,             0.71702,             0.76361,             0.46117,            0.034524,            0.004652,            0.013679,           0.0058816,           0.0058816,           0.0058816
                 106,             0.02675,            0.012467,            0.011337,             0.69247,             0.68901,             0.71932,              0.4099,             0.03429,           0.0049038,            0.018601,            0.005842,            0.005842,            0.005842
                 107,            0.026064,            0.012365,            0.012871,              0.7525,              0.7009,             0.74294,              0.4354,            0.035213,           0.0047786,            0.014469,           0.0058024,           0.0058024,           0.0058024
                 108,            0.025719,            0.012245,            0.012526,             0.69227,             0.68962,             0.71766,             0.42128,            0.034835,           0.0047403,            0.017383,           0.0057628,           0.0057628,           0.0057628
                 109,            0.026103,            0.012374,            0.011587,             0.85503,             0.72067,             0.74554,             0.46725,            0.034622,           0.0046656,            0.014681,           0.0057232,           0.0057232,           0.0057232
                 110,            0.026395,            0.012724,            0.011702,             0.72219,             0.65904,             0.70453,             0.43597,            0.034273,            0.004705,            0.018941,           0.0056836,           0.0056836,           0.0056836
                 111,            0.026797,            0.012632,            0.013016,             0.71157,             0.70792,             0.69971,              0.4296,            0.034991,           0.0046792,            0.019865,            0.005644,            0.005644,            0.005644
                 112,            0.026371,            0.012423,            0.010839,             0.70338,             0.76816,             0.73683,             0.44228,            0.034321,           0.0047159,            0.016091,           0.0056044,           0.0056044,           0.0056044
                 113,            0.025727,            0.012728,             0.01208,             0.69875,             0.70907,             0.72547,             0.43778,            0.033451,           0.0049334,            0.018844,           0.0055648,           0.0055648,           0.0055648
                 114,            0.026909,              0.0125,             0.01091,             0.91345,             0.68165,             0.72271,             0.44417,            0.033828,            0.004691,            0.018605,           0.0055252,           0.0055252,           0.0055252
                 115,            0.026304,            0.012397,            0.010497,             0.73183,             0.70269,             0.73224,             0.44953,            0.034259,           0.0045944,            0.017734,           0.0054856,           0.0054856,           0.0054856
                 116,             0.02617,            0.012588,            0.010106,             0.74164,             0.68167,             0.72428,             0.41905,            0.034383,           0.0046776,            0.020119,            0.005446,            0.005446,            0.005446
                 117,            0.026399,             0.01252,            0.010067,             0.74866,             0.67276,              0.7129,             0.41995,            0.034699,            0.004602,            0.020859,           0.0054064,           0.0054064,           0.0054064
                 118,             0.02622,             0.01207,            0.012235,              0.7083,             0.69765,             0.72493,             0.40523,            0.034621,           0.0046866,            0.017126,           0.0053668,           0.0053668,           0.0053668
                 119,            0.025747,            0.012178,            0.011188,             0.90646,             0.65373,             0.70457,             0.39592,            0.035124,           0.0048003,            0.016472,           0.0053272,           0.0053272,           0.0053272
                 120,            0.025296,            0.012403,            0.011854,             0.69787,              0.7509,             0.70768,             0.40953,             0.03537,           0.0047114,            0.022007,           0.0052876,           0.0052876,           0.0052876
                 121,            0.026201,            0.012146,            0.010372,             0.75665,             0.67886,             0.71657,             0.43451,            0.034529,            0.004759,            0.020921,            0.005248,            0.005248,            0.005248
                 122,            0.025638,            0.012605,            0.010644,             0.72342,             0.70562,             0.73441,             0.43232,            0.034899,           0.0049517,            0.022328,           0.0052084,           0.0052084,           0.0052084
                 123,            0.025416,            0.012262,            0.010764,             0.85531,             0.73285,             0.72496,             0.44237,            0.034633,           0.0048835,            0.021349,           0.0051688,           0.0051688,           0.0051688
                 124,             0.02606,            0.012084,           0.0097275,             0.72544,             0.67507,             0.70388,             0.40692,            0.035065,           0.0048434,            0.021539,           0.0051292,           0.0051292,           0.0051292
                 125,            0.025532,            0.011988,            0.011495,             0.69762,              0.6533,             0.69938,             0.41199,            0.035107,           0.0047277,            0.021603,           0.0050896,           0.0050896,           0.0050896
                 126,            0.025705,            0.012198,            0.010567,             0.74219,             0.66549,             0.71017,              0.4044,             0.03477,           0.0049067,            0.020698,             0.00505,             0.00505,             0.00505
                 127,            0.026549,            0.011925,           0.0096743,              0.7102,              0.6671,             0.69447,             0.40981,            0.034636,           0.0048967,            0.019496,           0.0050104,           0.0050104,           0.0050104
                 128,            0.025587,            0.011823,            0.010567,             0.85487,             0.64439,             0.66848,             0.40731,            0.037384,            0.004682,            0.021694,           0.0049708,           0.0049708,           0.0049708
                 129,            0.025787,            0.012023,            0.011614,             0.73489,             0.64374,               0.701,             0.41078,            0.037218,           0.0049319,            0.021839,           0.0049312,           0.0049312,           0.0049312
                 130,            0.025435,            0.012176,            0.010211,             0.90844,             0.65339,             0.71199,             0.43221,            0.034895,           0.0047585,            0.021762,           0.0048916,           0.0048916,           0.0048916
                 131,            0.025858,            0.011873,            0.010794,             0.68803,             0.64442,                0.69,             0.43006,            0.035048,           0.0047084,            0.021226,            0.004852,            0.004852,            0.004852
                 132,            0.025001,            0.012147,            0.010013,             0.69814,             0.64038,             0.69092,             0.40807,            0.034413,           0.0048721,             0.02118,           0.0048124,           0.0048124,           0.0048124
                 133,            0.026235,            0.012498,            0.011004,             0.88031,             0.64416,             0.70376,             0.42178,            0.033871,           0.0048431,            0.019369,           0.0047728,           0.0047728,           0.0047728
                 134,             0.02556,            0.012007,            0.010699,             0.66953,             0.69238,             0.68675,             0.41026,            0.033295,            0.004813,            0.020063,           0.0047332,           0.0047332,           0.0047332
                 135,            0.024365,            0.011933,            0.010481,             0.70634,             0.66087,             0.71135,              0.4242,            0.034675,           0.0047846,            0.019078,           0.0046936,           0.0046936,           0.0046936
                 136,            0.024913,            0.012002,           0.0099719,             0.65162,             0.69532,             0.70419,             0.42405,            0.034211,            0.004811,            0.018238,            0.004654,            0.004654,            0.004654
                 137,            0.024142,            0.012029,           0.0096635,             0.68488,              0.6733,             0.71206,              0.4249,            0.034556,           0.0050054,            0.019469,           0.0046144,           0.0046144,           0.0046144
                 138,            0.024192,            0.011934,              0.0105,              0.7467,             0.65981,             0.70478,             0.42981,            0.034471,           0.0050099,            0.016762,           0.0045748,           0.0045748,           0.0045748
                 139,            0.024406,            0.012187,            0.010019,             0.75059,             0.68081,             0.71465,             0.43957,            0.035863,           0.0046905,            0.018973,           0.0045352,           0.0045352,           0.0045352
                 140,            0.025568,            0.012063,            0.011195,              0.7133,              0.6984,              0.7117,              0.4149,            0.034255,           0.0048187,             0.01886,           0.0044956,           0.0044956,           0.0044956
                 141,            0.024681,            0.011958,           0.0099061,             0.78789,             0.71691,             0.72061,              0.4344,            0.034364,           0.0047965,            0.016991,            0.004456,            0.004456,            0.004456
                 142,            0.024749,            0.011568,           0.0091159,             0.69938,             0.70923,             0.69105,             0.41291,            0.035743,           0.0048361,             0.01812,           0.0044164,           0.0044164,           0.0044164
                 143,            0.025769,            0.012101,           0.0098579,             0.69359,              0.6943,             0.70396,             0.41032,             0.03714,           0.0048381,            0.018056,           0.0043768,           0.0043768,           0.0043768
                 144,            0.024088,            0.011682,           0.0096198,             0.68609,             0.72191,             0.69877,             0.42889,            0.035995,           0.0047239,            0.019302,           0.0043372,           0.0043372,           0.0043372
                 145,            0.024773,            0.011761,           0.0096884,             0.90185,              0.6027,             0.70029,             0.42219,            0.035547,           0.0046342,             0.02224,           0.0042976,           0.0042976,           0.0042976
                 146,             0.02452,            0.011775,           0.0088932,             0.87644,              0.6605,             0.70544,             0.40829,            0.034537,           0.0048767,            0.021977,            0.004258,            0.004258,            0.004258
                 147,            0.025037,            0.011639,           0.0097929,             0.85631,             0.64551,             0.70287,             0.40512,            0.034299,           0.0049322,            0.021525,           0.0042184,           0.0042184,           0.0042184
                 148,             0.02443,            0.011662,           0.0099697,             0.68461,             0.65046,             0.70399,             0.41598,            0.034198,             0.00482,            0.020154,           0.0041788,           0.0041788,           0.0041788
                 149,            0.024823,            0.011848,           0.0093737,             0.89234,             0.65085,             0.72949,             0.43524,            0.034426,           0.0047444,            0.020088,           0.0041392,           0.0041392,           0.0041392
                 150,            0.023411,            0.011669,           0.0081197,             0.69589,             0.72705,             0.72517,             0.42954,            0.034483,           0.0048672,            0.019434,           0.0040996,           0.0040996,           0.0040996
                 151,             0.02424,            0.011475,           0.0084542,             0.66749,             0.73279,             0.72058,             0.44156,            0.034313,           0.0048446,            0.016656,             0.00406,             0.00406,             0.00406
                 152,            0.024318,            0.011642,           0.0093102,             0.85655,             0.67907,             0.71965,             0.44178,             0.03375,           0.0045533,            0.019229,           0.0040204,           0.0040204,           0.0040204
                 153,            0.023186,            0.011633,           0.0082629,             0.83139,             0.69486,              0.7048,             0.41911,            0.033851,           0.0048755,             0.01896,           0.0039808,           0.0039808,           0.0039808
                 154,            0.024863,            0.011632,           0.0082428,             0.70268,             0.64298,             0.69823,              0.4192,            0.034212,           0.0047566,            0.019535,           0.0039412,           0.0039412,           0.0039412
                 155,            0.024024,            0.011749,           0.0085134,              0.8385,             0.67845,             0.68057,             0.41084,            0.032859,           0.0048672,            0.015232,           0.0039016,           0.0039016,           0.0039016
                 156,             0.02407,            0.011805,           0.0093764,              0.6717,             0.75166,             0.71524,             0.41506,             0.03431,           0.0048452,             0.01408,            0.003862,            0.003862,            0.003862
                 157,            0.023745,            0.011765,           0.0084035,             0.88423,             0.67292,             0.71673,             0.43257,            0.034041,           0.0048867,            0.013477,           0.0038224,           0.0038224,           0.0038224
